postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh,Lat,Lon
2631,90,380,21.6,441,328,113,0,82,8,0,11276,"72,167",15.1,-36.60409216,149.3205185
2632,302,910,31.1,1428,1155,273,0,283,19,0,30241,"193,544",40.5,-36.93084374,149.2278
2633,44,244,17.6,209,183,26,0,43,1,0,8992,"57,549",12,-36.98614166,148.9071917
2640,6301,19852,27.9,41364,25290,15344,730,5534,765,2,374473,"2,396,626",506.6,-36.08467831,146.919996
2641,2238,9092,22.5,13183,9230,3953,0,2045,193,0,124716,"798,181",168.6,-36.03975046,146.9418597
2642,1126,2127,46.9,7065,4989,2076,0,997,129,0,96072,"614,860",129.1,-35.75876977,147.3371135
2643,698,1339,48.8,4158,3068,1090,0,654,44,0,7796,"49,895",10.7,-35.97892078,146.5941627
2644,513,1171,38.4,3466,2252,1214,0,450,63,0,54700,"350,077",73.5,-35.74658875,147.3441481
2645,105,225,42.2,670,465,205,0,95,10,0,11694,"74,843",16,-35.32239907,146.3109376
2646,1536,3310,42,49628,6615,3189,39824,1391,143,2,79051,"505,924",108.2,-35.92942693,146.3582946
2647,608,1107,49.5,4326,2617,1413,296,548,59,1,7445,"47,651",10.2,-35.98582847,146.0076035
2648,492,1170,34.8,3805,1981,1824,0,407,85,0,47230,"302,273",68.8,-33.77599604,141.9485726
2649,7,10,,30,19,11,0,6,1,0,1047,"6,701",1.4,-35.72003657,148.221699
2650,8069,23164,31.6,212746,33549,15323,163874,7322,741,6,581920,"3,724,289",786,-35.13031293,147.2933833
2651,246,777,29.7,1512,1161,351,0,231,15,0,25688,"164,405",35,-35.1522222,147.4657021
2652,835,1985,36.4,6017,3642,1573,802,723,109,3,109211,"698,950",161.1,-34.89614481,146.9826227
2653,506,1184,39.2,2942,2131,811,0,464,42,0,43495,"278,371",57.2,-35.76011088,148.009786
2655,280,605,41.7,1615,1179,436,0,252,28,0,21829,"139,704",29.4,-35.29741467,147.1225316
2656,272,613,40.1,1634,1208,426,0,246,26,0,26324,"168,471",35.3,-35.25499455,146.7494041
2658,320,676,44.2,1778,1410,368,0,299,21,0,33879,"216,824",45.5,-35.51047184,146.9832245
2659,181,343,48.7,1342,843,273,226,167,13,1,12430,"79,550",16.7,-35.75140408,146.8890486
2660,353,695,45.2,2782,1447,890,445,314,37,2,14797,"94,699",19.9,-35.66709842,147.0424406
2661,1,57,1.8,6,6,0,0,1,0,0,10027,"64,174",13.9,-35.15465035,147.2949971
2663,675,1822,34.5,43238,2733,1106,39399,628,46,1,52632,"336,847",69.2,-34.85538133,147.6271598
2665,327,1022,28,2085,1516,569,0,286,41,0,54912,"351,438",81,-34.31315812,146.8323284
2666,917,2568,30.9,117078,3870,2304,110904,794,121,2,115589,"739,767",169.7,-34.46341063,147.5834075
2668,74,209,33.5,357,309,48,0,70,4,0,13427,"85,933",19.6,-34.13498665,147.4005481
2669,288,899,26.7,2435,1262,621,552,240,46,2,72886,"466,472",107.5,-33.71932083,146.6073811
2671,803,1826,37.7,6657,3190,2209,1258,689,112,2,40433,"258,769",59.6,-33.86981365,147.2123583
2672,322,587,44,2979,1259,1499,221,258,63,1,12898,"82,548",19,-33.28355298,146.3680579
2675,278,729,28.1,123204,987,2283,119934,205,69,4,35581,"227,715",52.6,-33.41440751,145.6442879
2680,3462,8399,31.5,67801,12872,17347,37582,2648,804,10,330854,"2,117,463",490.7,-34.49382016,146.3379907
2681,275,678,29.4,2381,994,1387,0,199,76,0,41740,"267,136",62.4,-34.20708198,146.1824072
