postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh,id,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_MAINCODE_2011,SA1_MAINCODE_2016,SA2_MAINCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RA_2011,RA_2016,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,lgacode,electorate,electoraterating,ALGO,Total Potentian incl +100
2560,9279,26955,31.3,52154,37502,13165,1487,8434,844,1,426621,"2,730,376",561.5,1263,AIRDS,NSW,150.768408,-34.194216,MINTO DC,Delivery Area,Updated 6-Feb-2020,12303,Wollondilly,123,Sydney - Outer South West,R1,-34.0916,150.8249,12302143601,12302143601,123021436,Bradbury - Wedderburn,12302,Campbelltown (NSW),123,Sydney - Outer South West,1,1,1,1,Macarthur,182.7898102,N1,PHN106,South Eastern NSW,Campbelltown,11500,Macarthur,Outer Metropolitan,1181,428108
3064,13683,30502,41.9,85437,69395,13065,2977,12790,889,4,458474,"2,934,232",567.4,4617,CRAIGIEBURN,VIC,144.942199,-37.546522,SOMERTON DC,Delivery Area,Updated 6-Feb-2020,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,R1,-37.594,144.934,21005124424,21005144104,210051441,Craigieburn - Central,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,1,1,1,1,Calwell,225.3305511,V1,PHN202,Eastern Melbourne,Hume,23270,McEwen,Rural,1179,461451
2164,2115,6162,26.3,29094,6933,16627,5534,1621,481,13,411235,"2,631,902",542.4,2817,SMITHFIELD,NSW,150.875028,-33.844153,SMITHFIELD WEST LPO,Delivery Area,Updated 6-Feb-2020,12702,Fairfield,127,Sydney - South West,R1,-33.8535722,150.9406861,12702151939,12702151939,127021519,Smithfield - Wetherill Park,12702,Fairfield,127,Sydney - South West,1,1,1,1,McMahon,73.70684814,N1,PHN105,South Western Sydney,Fairfield,12850,McMahon,Outer Metropolitan,1175,416769
3020,3481,17272,18.7,21577,11944,8182,1451,3222,256,3,382940,"2,450,816",477.7,4777,ALBION,VIC,144.829945,-37.777204,SUNSHINE DC,Delivery Area,Updated 6-Feb-2020,21301,Brimbank,213,Melbourne - West,R1,-37.7755151,144.8154448,21301132814,21301132814,213011328,Ardeer - Albion,21301,Brimbank,213,Melbourne - West,1,1,1,1,Fraser,,V1,PHN201,North Western Melbourne,Brimbank,21180,Fraser,Inner Metropolitan,1130,384391
4305,11193,28022,37.7,55221,42821,10725,1675,10572,618,3,401670,"2,570,689",562.6,12006,BASIN POCKET,QLD,152.753696,-27.627522,BOOVAL DC,Delivery Area,Updated 4-Dec-2022,31003,Ipswich Inner,310,Ipswich,R2,-27.601,152.7718,31003128729,31003128729,310031287,Ipswich - East,31003,Ipswich Inner,310,Ipswich,1,1,1,1,Blair,35.16280746,Q2,PHN304,Darling Downs and West Moreton,Ipswich,33960,Wright,Rural,1095,403345
3216,6111,27545,21.2,38095,24178,5816,8101,5845,264,2,370115,"2,368,737",463.7,6675,BELMONT,VIC,144.334005,-38.215906,GROVEDALE DC,Delivery Area,Updated 6-Feb-2020,20303,Surf Coast - Bellarine Peninsula,203,Geelong,R2,-38.173,144.341,20302103726,20302103726,203021037,Belmont,20302,Geelong,203,Geelong,1,1,1,1,Corio,41.91722107,V1,PHN206,Western Victoria,Greater Geelong,22750,Corio,Provincial,1085,378216
3550,4825,21644,20.6,28656,17918,9818,920,4460,362,3,366178,"2,343,538",490.7,7669,BENDIGO,VIC,144.285267,-36.764269,BENDIGO DC,Delivery Area,Updated 6-Feb-2020,20201,Bendigo,202,Bendigo,R3,-36.7570157,144.2793906,20201101835,20201101835,202011018,Bendigo,20201,Bendigo,202,Bendigo,2,2,2,2,Bendigo,,V2,PHN205,Murray,Greater Bendigo,22620,Bendigo,Provincial,1066,367098
3810,6359,24086,24.8,36388,27390,8406,592,5975,382,2,373157,"2,388,202",441.7,9039,PAKENHAM,VIC,145.472514,-38.04658,PAKENHAM DC,Delivery Area,Updated 6-Feb-2020,21201,Cardinia,212,Melbourne - South East,R3,-38.073568,145.4851308,21201129209,21201129209,212011292,Pakenham - South,21201,Cardinia,212,Melbourne - South East,1,1,1,1,La Trobe,,V1,PHN203,South Eastern Melbourne,Cardinia,21450,Monash,,1065,373749
2480,10510,19720,49.1,55842,41148,13909,785,9682,826,2,399343,"2,555,794",547.3,98,BACK CREEK,NSW,153.25943,-28.706486,LISMORE DC,Delivery Area,Updated 6-Feb-2020,11202,Richmond Valley - Hinterland,112,Richmond - Tweed,R3,-28.7126007,153.0785074,11202124707,11202124707,112021247,Kyogle,11202,Richmond Valley - Hinterland,112,Richmond - Tweed,2,2,5,5,Page,17.78333282,N2,PHN109,North Coast,Lismore,14850,Richmond,Rural,1061,400128
2450,7630,16684,42.2,44826,31461,12018,1347,7038,589,3,384667,"2,461,872",539.2,2070,BOAMBEE,NSW,152.658268,-30.097726,COFFS HARBOUR DC,Delivery Area,Updated 6-Feb-2020,10402,Coffs Harbour,104,Coffs Harbour - Grafton,R3,-30.333333,153.083333,10402108908,10402108908,104021089,Sawtell - Boambee,10402,Coffs Harbour,104,Coffs Harbour - Grafton,2,2,3,3,Cowper,590.1549683,N2,PHN109,North Coast,Bellingen,10600,Page,Rural,1051,386014
3023,6953,22760,29.4,37431,28407,6666,2358,6684,264,5,367514,"2,352,090",460.8,4788,BURNSIDE,VIC,144.770641,-37.78272,SUNSHINE DC,Delivery Area,Updated 6-Feb-2020,21304,Melton - Bacchus Marsh,213,Melbourne - West,R1,-37.753,144.754,21304135415,21304146103,213041461,Burnside,21304,Melton - Bacchus Marsh,213,Melbourne - West,1,1,1,1,Gorton,52.15705872,V1,PHN201,North Western Melbourne,Brimbank,21180,Gorton,Outer Metropolitan,1045,369872
2640,6301,19852,27.9,41364,25290,15344,730,5534,765,2,374473,"2,396,626",506.6,3998,ALBURY,NSW,147.026549,-36.016196,LAVINGTON DC,Delivery Area,Updated 6-Feb-2020,20403,Wodonga - Alpine,204,Hume,R3,-36.0737293,146.9135418,10901117428,10901117428,109011174,Albury - South,10901,Albury,109,Murray,2,2,2,2,Farrer,,V2,PHN205,Murray,Albury,10050,Farrer,Rural,1042,375203
3199,4944,26681,17.6,27134,19311,4634,3189,4692,248,4,346419,"2,217,080",424.4,6641,FRANKSTON,VIC,145.135961,-38.162578,SEAFORD DELIVERY CENTRE,Delivery Area,Updated 6-Feb-2020,21402,Mornington Peninsula,214,Mornington Peninsula,R1,-38.1466246,145.135722,21401137131,21401137131,214011371,Frankston,21401,Frankston,214,Mornington Peninsula,1,1,1,1,Dunkley,76.13523102,V1,PHN203,South Eastern Melbourne,Frankston,22170,Dunkley,Outer Metropolitan,1033,349608
2145,5728,21805,23.4,35622,21795,11981,1846,5093,628,7,361482,"2,313,488",468.8,20224,CONSTITUTION HILL,NSW,150.9751544,-33.79382308,Sydney Metro,Delivery Area,Updated 6-Feb-2020,12504,Parramatta,125,Sydney - Parramatta,R1,-33.7945,150.976,12504149305,12504149305,125041493,Toongabbie - Constitution Hill,12504,Parramatta,125,Sydney - Parramatta,1,1,1,1,Parramatta,,N1,PHN103,Western Sydney,Parramatta,16260,Parramatta,Inner Metropolitan,1032,363328
2580,3895,14117,23.8,27549,15692,8518,3339,3363,529,3,355302,"2,273,930",483.5,972,BANNABY,NSW,149.729215,-34.726283,GOULBURN DC,Delivery Area,Updated 6-Feb-2020,12402,Blue Mountains - South,124,Sydney - Outer West and Blue Mountains,R3,-34.4129064,149.9080875,10101100232,10105154019,101051540,Goulburn Region,10105,Goulburn - Mulwaree,101,Capital Region,2,2,5,5,Hume,652.8199463,N2,PHN107,Western NSW,Goulburn Mulwaree,13310,Hume,Provincial,1024,358641
3150,5748,21976,24.7,28823,23909,4659,255,5439,308,1,351639,"2,250,487",414.4,20766,BRANDON PARK,VIC,145.168834,-37.914383,Melbourne Metro,Delivery Area,Updated 6-Feb-2020,21205,Monash,212,Melbourne - South East,R1,-37.9145,145.169,21205132712,21205132712,212051327,Wheelers Hill,21205,Monash,212,Melbourne - South East,1,1,1,1,Chisholm,101.373085,V1,PHN202,Eastern Melbourne,Monash,24970,Hotham,Inner Metropolitan,1018,351894
4211,12378,23645,47,69150,48672,19001,1477,11117,1255,6,389987,"2,495,919",555.8,12076,ADVANCETOWN,QLD,153.241258,-28.035453,NERANG DC,Delivery Area,Updated 6-Feb-2020,30908,Robina,309,Gold Coast,R2,-28.0315826,153.2767456,30904124111,30904124111,309041241,Guanaba - Springbrook,30904,Gold Coast Hinterland,309,Gold Coast,1,1,1,1,Moncrieff,489.4436035,Q1,PHN303,Gold Coast,Gold Coast,33430,Wright,Rural,1001,391464
6530,5446,15957,33,27353,22400,4645,308,5268,176,2,348170,"2,228,289",543.5,10831,BEACHLANDS,WA,114.862505,-28.802491,GERALDTON DC,Delivery Area,Updated 6-Feb-2020,50805,Mid West,508,Western Australia - Outback,R3,-28.7846739,114.6031711,50805121010,51104128520,511041285,Geraldton,51104,Mid West,511,Western Australia - Outback (South),3,3,3,3,Durack,124.9761581,W2,PHN503,Country WA,Chapman Valley,51610,Durack,Rural,995,348478
