"LGA","lga_name","lga_state","capacity_lga","dwellings_lga","instals_lga","density_lga","capunder10","cap10_100","capover100","countunder10","count10_100","count100"
"57770","Shark Bay (S)","WA","1149","1233","143","9.2","504","645","0","114","29","0"
"57840","South Perth (C)","WA","25362","19328","5019","24.9","21645","3524","193","4806","212","1"
"57910","Stirling (C)","WA","140808","100608","27684","26.6","116899","21786","2123","26711","964","9"
"57980","Subiaco (C)","WA","9785","5590","1695","28.4","7262","2523","0","1587","108","0"
"58050","Swan (C)","WA","178624","63740","32719","49.6","146520","25913","6191","31603","1106","10"
"58190","Tammin (S)","WA","239","216","48","20.4","154","85","0","44","4","0"
"58260","Three Springs (S)","WA","630","294","112","36.1","522","108","0","106","6","0"
"58330","Toodyay (S)","WA","5478","2450","1304","51.9","4898","580","0","1271","33","0"
"58400","Trayning (S)","WA","293","254","59","22.4","262","31","0","57","2","0"
"58470","Upper Gascoyne (S)","WA","179","149","21","12.1","100","79","0","18","3","0"
"58510","Victoria Park (T)","WA","25649","15717","4006","23.8","16087","8795","767","3734","269","3"
"58540","Victoria Plains (S)","WA","1352","452","141","26.8","574","778","0","121","20","0"
"58570","Vincent (C)","WA","18647","10707","3065","26.5","12479","5987","181","2832","231","2"
"58610","Wagin (S)","WA","1987","938","335","34.5","1289","303","395","324","10","1"
"58680","Wandering (S)","WA","472","224","91","38.5","393","79","0","86","5","0"
"58760","Wanneroo (C)","WA","216620","88882","43532","47.8","187522","25253","3845","42493","1024","15"
"58820","Waroona (S)","WA","4637","2093","937","43.4","3938","699","0","908","29","0"
"58890","West Arthur (S)","WA","652","464","135","27.6","507","145","0","128","7","0"
"59030","Westonia (S)","WA","381","131","77","54.7","305","76","0","72","5","0"
"59100","Wickepin (S)","WA","474","419","113","26.2","421","53","0","110","3","0"
"59170","Williams (S)","WA","861","488","137","25.2","568","293","0","123","14","0"
"59250","Wiluna (S)","WA","262","266","13","2.3","29","233","0","6","7","0"
"59310","Wongan-Ballidu (S)","WA","1461","809","210","22.6","885","576","0","183","27","0"
"59320","Woodanilling (S)","WA","341","207","78","37.0","298","43","0","77","1","0"
"59330","Wyalkatchem (S)","WA","393","308","98","31.2","370","23","0","96","2","0"
